package,resource,original,replacement,context,status
com.android.launcher.black.blue,application_name,Black Blue Launcher,Black/Blue Launcher,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,car_speed_gps_correction,GPS speed correction (range -10 ~ 10):,GPS speed correction (-10 to +10):,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,cloudy,多云,Cloudy,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,default_weather,sunny,Sunny,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,default_weather_city,ShenZhen,Shenzhen,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,default_weather_quality,good,Good,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,folder_hint_text,Unnamed Folder,Unnamed folder,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,folder_tap_to_rename,Touch to save rename,Touch to save the new name,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,gadget_setup_text,Setup,Set up,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_NaviTip,No Navi,No navigation app installed,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_a2dp,BT Music,Bluetooth music,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_avin,AVIN,AV input,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_carsetting,CarSettings,Car settings,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_download,DownLoad,Downloads,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_filebrowser,FileBrowser,Files,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_gps,By GPS,GPS,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_loading,Loading...,Loading…,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_local_music,Local Music,Local music,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_navi,Navi,Navigation,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_online_vedio,Online Vedio,Online video,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_original_car,Radio multimedia,Factory radio,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_phonelink,Mobile Link,Phone link,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_picture,Image,Images,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_right_camera,Right Camera,Right camera,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_swc,SWC,Steering-wheel controls,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_unknow,unknown,Unknown,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,home_userguide,UserGuide,User manual,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,image_load_fail,Coudn't load image,Couldn\'t load image,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,link_folder_name,网页链接,Web links,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,one_video_widget,"Only one ""%s"" is allowed in Home screen.",Only one “%s” widget is allowed on the Home screen.,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,orientation,Cannot detect orientation.,Couldn\'t detect the screen orientation.,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,original_car_system,Original Car,Original vehicle system,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,overcase,转晴,Clearing,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,permlab_install_shortcut,install shortcuts,Add Home shortcuts,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,permlab_read_settings,read Home settings and shortcuts,Read Home settings and shortcuts,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,permlab_uninstall_shortcut,uninstall shortcuts,Remove Home shortcuts,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,permlab_write_settings,write Home settings and shortcuts,Change Home settings and shortcuts,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,rain,雨,Rain,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,rearrange_app,Rearrange app,Rearrange apps,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,scale_image,Scale ImageView,Scale image,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,snow,雪,Snow,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_app_widget_3,Quick Application -3 Grid,3-app shortcut grid,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_app_widget_6,Quick application-6 Grid,6-app shortcut grid,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_cur_pkg_playing,is currently playing,Playing,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_edit_widget,Edit plugin,Edit widget,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_first_setnavi,Please set default navigation for first use,Select a default navigation app before first use,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_freeform_type_select,Freeform display type selection,Floating-window display,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_latitude,LAT,Latitude,Black/Blue launcher,built; device verification pending
com.android.launcher.black.blue,str_longitude,LONG,Longitude,Black/Blue launcher,built; device verification pending
